256	8.0252	8.0365
257	8.0256	8.0368
258	8.0261	8.037
259	8.0266	8.0372
260	8.027	8.0374
261	8.0275	8.0377
262	8.028	8.0379
263	8.0285	8.0381
264	8.029	8.0384
265	8.0296	8.0386
266	8.0301	8.0388
267	8.0306	8.0391
268	8.0311	8.0393
269	8.0317	8.0396
270	8.0322	8.0398
271	8.0328	8.04
272	8.0333	8.0403
273	8.0339	8.0405
274	8.0345	8.0408
275	8.0351	8.041
276	8.0356	8.0413
277	8.0362	8.0415
278	8.0368	8.0418
279	8.0374	8.042
280	8.0381	8.0423
281	8.0387	8.0425
282	8.0393	8.0428
283	8.0399	8.0431
284	8.0406	8.0433
285	8.0412	8.0436
286	8.0419	8.0438
287	8.0425	8.0441
288	8.0432	8.0444
289	8.0439	8.0446
290	8.0446	8.0449
291	8.0452	8.0452
292	8.0459	8.0455
293	8.0466	8.0457
294	8.0473	8.046
295	8.0481	8.0463
296	8.0488	8.0466
297	8.0495	8.0468
298	8.0502	8.0471
299	8.051	8.0474
300	8.0517	8.0477
301	8.0525	8.048
302	8.0533	8.0483
303	8.054	8.0486
304	8.0548	8.0489
305	8.0556	8.0492
306	8.0564	8.0495
307	8.0572	8.0498
308	8.058	8.0501
309	8.0588	8.0504
310	8.0596	8.0507
311	8.0605	8.051
312	8.0613	8.0513
313	8.0621	8.0516
314	8.063	8.0519
315	8.0639	8.0522
316	8.0647	8.0525
317	8.0656	8.0528
318	8.0665	8.0531
319	8.0674	8.0535
320	8.0683	8.0538
321	8.0692	8.0541
322	8.0701	8.0544
323	8.071	8.0548
324	8.0719	8.0551
325	8.0728	8.0554
326	8.0738	8.0558
327	8.0747	8.0561
328	8.0757	8.0564
329	8.0766	8.0568
330	8.0776	8.0571
331	8.0786	8.0575
332	8.0795	8.0578
333	8.0805	8.0582
334	8.0815	8.0585
335	8.0825	8.0589
336	8.0835	8.0592
337	8.0846	8.0596
338	8.0856	8.0599
339	8.0866	8.0603
340	8.0877	8.0607
341	8.0887	8.061
342	8.0898	8.0614
343	8.0908	8.0618
344	8.0919	8.0621
345	8.093	8.0625
346	8.094	8.0629
347	8.0951	8.0633
348	8.0962	8.0637
349	8.0973	8.064
350	8.0985	8.0644
351	8.0996	8.0648
352	8.1007	8.0652
353	8.1018	8.0656
354	8.103	8.066
355	8.1041	8.0664
356	8.1053	8.0668
357	8.1064	8.0672
358	8.1076	8.0676
359	8.1088	8.068
360	8.11	8.0684
361	8.1112	8.0688
362	8.1124	8.0693
363	8.1136	8.0697
364	8.1148	8.0701
365	8.116	8.0705
366	8.1172	8.0709
367	8.1185	8.0714
368	8.1197	8.0718
369	8.121	8.0722
370	8.1222	8.0727
371	8.1235	8.0731
372	8.1247	8.0736
373	8.126	8.074
374	8.1273	8.0744
375	8.1286	8.0749
376	8.1299	8.0753
377	8.1312	8.0758
378	8.1325	8.0763
379	8.1338	8.0767
380	8.1352	8.0772
381	8.1365	8.0776
382	8.1378	8.0781
383	8.1392	8.0786
384	8.1405	8.079
385	8.1419	8.0795
386	8.1433	8.08
387	8.1446	8.0805
388	8.146	8.081
389	8.1474	8.0814
390	8.1488	8.0819
391	8.1502	8.0824
392	8.1516	8.0829
393	8.153	8.0834
394	8.1544	8.0839
395	8.1559	8.0844
396	8.1573	8.0849
397	8.1588	8.0854
398	8.1602	8.086
399	8.1617	8.0865
400	8.1631	8.087
401	8.1646	8.0875
402	8.1661	8.088
403	8.1676	8.0886
404	8.169	8.0891
405	8.1705	8.0896
406	8.172	8.0901
407	8.1736	8.0907
408	8.1751	8.0912
409	8.1766	8.0918
410	8.1781	8.0923
411	8.1797	8.0929
412	8.1812	8.0934
413	8.1828	8.094
414	8.1843	8.0945
415	8.1859	8.0951
416	8.1874	8.0956
417	8.189	8.0962
418	8.1906	8.0968
419	8.1922	8.0974
420	8.1938	8.0979
421	8.1954	8.0985
422	8.197	8.0991
423	8.1986	8.0997
424	8.2002	8.1003
425	8.2019	8.1009
426	8.2035	8.1015
427	8.2051	8.1021
428	8.2068	8.1027
429	8.2084	8.1033
430	8.2101	8.1039
431	8.2118	8.1045
432	8.2134	8.1051
433	8.2151	8.1057
434	8.2168	8.1063
435	8.2185	8.1069
436	8.2202	8.1076
437	8.2219	8.1082
438	8.2236	8.1088
439	8.2253	8.1095
440	8.227	8.1101
441	8.2287	8.1107
442	8.2305	8.1114
443	8.2322	8.112
444	8.234	8.1127
445	8.2357	8.1133
446	8.2375	8.114
447	8.2392	8.1146
448	8.241	8.1153
449	8.2428	8.116
450	8.2445	8.1166
451	8.2463	8.1173
452	8.2481	8.118
453	8.2499	8.1187
454	8.2517	8.1194
455	8.2535	8.12
456	8.2553	8.1207
457	8.2572	8.1214
458	8.259	8.1221
459	8.2608	8.1228
460	8.2627	8.1235
461	8.2645	8.1242
462	8.2664	8.1249
463	8.2682	8.1256
464	8.2701	8.1264
465	8.2719	8.1271
466	8.2738	8.1278
467	8.2757	8.1285
468	8.2776	8.1293
469	8.2794	8.13
470	8.2813	8.1307
